"Commande_key","Code_commande","Statut_commande","Mode_paiement","Methode_livraison","Frais_livraison","Remise_panier","Montant_total"
713,"12591","Terminée","Pay in Person","Livraison à domicile","7","0","37"
714,"12539","Terminée","Pay in Person","Livraison à domicile","7","0","55"
715,"12500","Terminée","Pay in Person","Livraison à domicile","7","0","27"
716,"12367","Terminée","Pay in Person","Home delivery","7","0","65"
717,"12202","Terminée","Pay in Person","Home delivery","7","0","37"
718,"12201","Terminée","Pay in Person","Home delivery","7","0","37"
719,"12200","Terminée","Pay in Person","Home delivery","7","0","67"
720,"12199","Terminée","Pay in Person","Home delivery","7","0","111"
722,"12198","Terminée","Pay in Person","Home delivery","7","0","37"
723,"12196","Terminée","Pay in Person","Home delivery","7","0","35"
724,"12192","Terminée","Pay in Person","Home delivery","7","0","77"
725,"12098","Terminée","Pay in Person","Home delivery","7","0","37"
726,"12085","Terminée","Pay in Person","Home delivery","7","0","52"
727,"12084","Terminée","Pay in Person","Home delivery","7","0","77"
728,"12067","Terminée","Pay in Person","Home delivery","7","0","117"
730,"12064","Terminée","Pay in Person","Home delivery","7","0","55"
731,"12015","Terminée","Pay in Person","Home delivery","7","0","187"
732,"11943","Terminée","Pay in Person","Home delivery","7","0","62"
733,"11941","Terminée","Pay in Person","Home delivery","7","0","37"
734,"11939","Terminée","Pay in Person","Home delivery","7","0","72"
735,"11935","Terminée","Pay in Person","Home delivery","7","0","65"
736,"11933","Terminée","Pay in Person","Home delivery","7","0","82"
738,"11932","Terminée","Pay in Person","Home delivery","7","0","82"
740,"11929","Terminée","Pay in Person","Home delivery","7","0","21"
741,"11928","Terminée","Paymee","Home delivery","7","0","176"
745,"11926","Terminée","Pay in Person","Home delivery","7","0","37"
746,"11925","Terminée","Pay in Person","Home delivery","7","0","37"
747,"11920","Terminée","Pay in Person","Home delivery","7","0","52"
750,"11919","Terminée","Pay in Person","Home delivery","7","0","37"
751,"11898","Terminée","Pay in Person","Home delivery","7","0","37"
752,"11893","Terminée","Pay in Person","Home delivery","7","0","36"
754,"11891","Terminée","Pay in Person","Home delivery","7","0","37"
755,"11889","Terminée","Pay in Person","Home delivery","7","0","41"
756,"11888","Terminée","Pay in Person","Home delivery","7","0","25"
759,"11869","Terminée","Pay in Person","Home delivery","0","0","30"
760,"11868","Terminée","Pay in Person","Home delivery","0","0","19"
