"Commande_key","Code_commande","Statut_commande","Mode_paiement","Methode_livraison","Frais_livraison","Remise_panier","Montant_total"
470,"13522","Terminée","Non renseigné","Non renseigné","0","0","145"
471,"13521","Terminée","Pay in Person","Livraison à domicile","8","0","3"
474,"13518","Terminée","Pay in Person","Livraison à domicile","8","0","28"
475,"13516","Terminée","Autre","Non renseigné","0","0","399"
479,"13511","Terminée","Wallet payment","Livraison à domicile","8","0","58"
480,"13510","Terminée","Pay in Person","Livraison à domicile","8","0","98"
485,"13509","Terminée","Wallet payment","Livraison à domicile","8","0","98"
486,"13508","Terminée","Pay in Person","Livraison à domicile","8","0","3"
489,"13507","Terminée","Pay in Person","Expédition","8","0","58"
490,"13506","Terminée","Pay in Person","Expédition","8","0","58"
491,"13505","Terminée","Pay in Person","Livraison à domicile","0","0","55"
495,"13503","Terminée","Pay in Person","Livraison à domicile","8","100","8"
496,"13502","Terminée","Pay in Person","Livraison à domicile","8","100","37"
497,"13500","Terminée","Wallet payment","Livraison à domicile","8","0","98"
498,"13499","Terminée","Pay in Person","Livraison à domicile","8","0","82,9"
499,"13336","Terminée","Pay in Person","Livraison à domicile","0","0","1505"
501,"13498","Terminée","Wallet payment","Livraison à domicile","8","0","33"
502,"13496","Terminée","Pay in Person","Livraison à domicile","8","0","53"
503,"13495","Terminée","Pay in Person","Livraison à domicile","8","0","3"
505,"13494","Terminée","Pay in Person","Expédition","8","0","108"
506,"13493","Terminée","Pay in Person","Expédition","8","0","58"
507,"13492","Terminée","Pay in Person","Livraison à domicile","8","0","100"
508,"13491","Terminée","Pay in Person","Livraison à domicile","8","0","18"
511,"13490","Terminée","Pay in Person","Livraison à domicile","8","0","23"
513,"13489","Terminée","Pay in Person","Livraison à domicile","8","0","17"
516,"13487","Terminée","Pay in Person","Livraison à domicile","8","0","23"
519,"13486","Terminée","Pay in Person","Livraison à domicile","8","0","7,9"
521,"13484","Terminée","Pay in Person","Livraison à domicile","0","0","50"
523,"13482","Terminée","Pay in Person","Livraison à domicile","8","0","8"
525,"13481","Terminée","Pay in Person","Livraison à domicile","8","0","98"
527,"13480","Terminée","Wallet payment","Livraison à domicile","8","0","98"
528,"13479","Terminée","Wallet payment","Livraison à domicile","8","0","68"
530,"13478","Terminée","Wallet payment","Livraison à domicile","8","0","93"
533,"13477","Terminée","Non renseigné","Livraison à domicile","8","0","0"
534,"13476","Terminée","Pay in Person","Livraison à domicile","8","0","8"
535,"13475","Terminée","Pay in Person","Livraison à domicile","0","0","60"
537,"13473","Terminée","Pay in Person","Livraison à domicile","8","0","3"
539,"13472","Terminée","Wallet payment","Livraison à domicile","8","0","94"
540,"13471","Terminée","Pay in Person","Livraison à domicile","8","0","3"
542,"13463","Terminée","Pay in Person","Livraison à domicile","0","0","54"
544,"13460","Terminée","Pay in Person","Livraison à domicile","8","0","99"
547,"13457","Terminée","Wallet payment","Livraison à domicile","8","0","73"
548,"13454","Terminée","Pay in Person","Non renseigné","0","30","90"
550,"13452","Terminée","Pay in Person","Livraison à domicile","8","0","8"
552,"13450","Terminée","Wallet payment","Livraison à domicile","8","0","94"
553,"13449","Terminée","Pay in Person","Livraison à domicile","8","0","108"
555,"13448","Terminée","Pay in Person","Livraison à domicile","0","0","267"
