"Produit_key","Code_Produit","Nom_Produit","Categorie","Sous_Categorie","Matiere","Prix_Vente_HT","Prix_Promo","En_Stock","Publie_Web"
103,"SPR-003-RL","Sous plat rond Andalous","Arts de la table","Céramiques","Bois Olivier","20","0",False,False
104,"SPR-004-RL","Sous plat rond Formes géométriques","Non catalogué","","Bois Olivier","0","0",False,False
105,"SPR-005-RL","Sous plat rond fleurs colorés","Arts de la table","Céramiques","Bois Olivier","15","0",False,False
106,"SRO-001-RL","Set Royal ottomans – Élégance Artisanale (8 Pièces)","Arts de la table","Céramiques","Bois Olivier","137","120",False,False
107,"SSB-001-2M","Set « Séa » en Grès Blanc Moucheté","Non catalogué","","Autre","0","0",False,False
108,"SSN-001-2M","Set « Séli » en Grès Noirs","Non catalogué","","Autre","0","0",False,False
109,"STB-001-BF","Sous tasse céramique bois d'olivier","Arts de la table, Shop","Arts de la table","Autre","0","0",False,False
110,"STC-001-KB","Service à Thé Martelé avec Plateau – Théière et Verres","Arts de la table","Cuivres","Cuivre","0","0",False,False
111,"Salaire Mensuel","Salaire Mensuel ","Non catalogué","","Autre","0","0",False,False
112,"Shooting","Shooting produits","Non catalogué","","Autre","0","0",False,False
113,"TB-001-FP","Tortue Noir en béton","Non catalogué","","Autre","0","0",False,False
114,"TB-002-FP","Tortue doré en beton","Non catalogué","","Autre","0","0",False,False
115,"TBC-001-RL","Trio bougies céramique rouge décoré ","Non catalogué","","Bois Olivier","90","0",False,False
116,"TBT-001-SS","Jeu talla3 b tounsi ","Non catalogué","","Autre","0","0",False,False
117,"TCC-001-KB","Tasse à café avec support en cuivre martelé et soucoupe","Arts de la table","Cuivres","Cuivre","30","0",False,False
118,"TCM-001-KB","Théière en cuivre martelé","Arts de la table","Cuivres","Cuivre","90","0",False,False
119,"Transport","Transport marchnadise Sfax tunis ( béton)","Non catalogué","","Autre","0","0",False,False
120,"VB-001-RES","Vase Beige en U","Non catalogué","","Autre","0","0",False,False
121,"VB-002-RES","Vase Beige triangle","Non catalogué","","Autre","0","0",False,False
122,"VC-001-RL","Vase en céramique avec motifs de poissons colorés- Samak","Arts de la table","Céramiques, Shop","Bois Olivier","35","0",False,False
123,"VC-002-RL","Ensemble de vases en céramique avec motifs berbères","Non catalogué","","Bois Olivier","0","0",False,False
124,"VL-001-MHN","Veilleuse de lit en fibre végétale","Non catalogué","","Autre","0","0",False,False
125,"VTC-001-KB","Verre de thé avec base en cuivre","Arts de la table","Cuivres","Cuivre","16.5","0",False,False
126,"VV-001-RES","Grand Vase visage en résine","Déco","Vases","Autre","35","0",False,False
127,"VVC-001-OD","Verre en verre craquelé type 1 didon","Non catalogué","","Autre","0","0",False,False
128,"VVC-001-SMC","Verre à vin en cuivre","Non catalogué","","Autre","0","0",False,False
129,"VVC-002-OD","Verre en verre craquelé type 2 Chope","Non catalogué","","Autre","0","0",False,False
130,"VVC-003-OD","Verre en verre craquelé type 3 flute avec base","Non catalogué","","Autre","0","0",False,False
131,"VVC-004-OD","Verre en verre craquelé type 4 a pied tp12b","Non catalogué","","Autre","0","0",False,False
132,"VVC-005-OD","Verre en verre craquelé type 5 a pied tige long","Non catalogué","","Autre","0","0",False,False
133,"ZCL-001-KB","Zazoua Cuivre martelé manche en laiton 1","Arts de la table","Cuivres","Cuivre","34","0",False,False
134,"ZCL-002-KB","Zazoua Cuivre martelé manche en laiton 2","Arts de la table","Cuivres","Cuivre","45","0",False,False
